Kenya,1
Guatemala,1
Macao,1
Qatar,1
Faroe Islands,1
Jersey,1
North Macedonia,1
Réunion,1
Laos,1
British Virgin Islands,1
Georgia,1
Dominican Republic,1
Bermuda,1
Kuwait,1
Peru,1
Seychelles,1
U.S. Virgin Islands,1
Belize,1
Andorra,1
Saudi Arabia,2
Isle of Man,2
Cyprus,2
United Arab Emirates,2
Kyrgyzstan,2
Costa Rica,2
Ghana,2
Panama,2
Armenia,2
Cambodia,3
Venezuela,3
Philippines,3
Iran,3
Bosnia and Herzegovina,3
Colombia,3
Chile,3
Republic of Moldova,4
Serbia,4
Iceland,4
Estonia,4
Indonesia,4
Curaçao,4
Belarus,5
Croatia,5
Uruguay,5
Mexico,6
Kazakhstan,8
Latvia,8
Turkey,10
Luxembourg,10
New Zealand,11
Greece,13
Denmark,13
Israel,13
Portugal,14
Slovenia,15
Argentina,17
South Africa,17
Thailand,19
Taiwan,20
India,22
Malaysia,22
Slovakia,23
Belgium,24
Hungary,28
,30
Austria,37
Brazil,38
Bulgaria,41
Norway,44
Poland,45
Romania,54
Spain,54
Czechia,58
Italy,68
Republic of Lithuania,68
Ukraine,71
Ireland,71
Sweden,79
Australia,80
Finland,90
South Korea,91
Switzerland,142
Hong Kong,145
Japan,151
Russia,217
United Kingdom,228
Singapore,239
Canada,239
China,275
Netherlands,362
France,436
Germany,1270
United States,1686
