Haiti,1
Burundi,1
Madagascar,1
Mali,1
Bhutan,1
Djibouti,1
Åland,1
French Polynesia,1
Fiji,1
Iraq,1
Botswana,1
Tanzania,1
Niger,1
"Bonaire, Sint Eustatius, and Saba",1
El Salvador,1
San Marino,1
Ethiopia,1
Saint Lucia,1
Oman,2
Dominica,2
Sint Maarten,2
Senegal,2
Mauritania,2
Maldives,2
Saint Pierre and Miquelon,2
St Kitts and Nevis,2
Faroe Islands,2
Guadeloupe,2
Palau,2
Vanuatu,2
Nicaragua,2
Antigua and Barbuda,3
Falkland Islands,3
Guam,3
Central African Republic,3
Cocos [Keeling] Islands,3
Togo,3
Guernsey,3
Liberia,3
Honduras,3
Kosovo,3
Grenada,4
Mongolia,4
Somalia,4
Angola,4
Tajikistan,4
U.S. Virgin Islands,4
Belize,4
Bahamas,5
Monaco,5
Namibia,5
Cameroon,5
Liechtenstein,6
Bolivia,6
Sierra Leone,7
Jamaica,7
Jersey,8
Guyana,8
Nepal,9
Suriname,9
Macao,10
French Guiana,10
Afghanistan,10
Aruba,11
Bangladesh,12
Montenegro,12
Brunei,13
Sudan,13
Andorra,13
Ghana,13
Paraguay,15
Isle of Man,16
Laos,17
Nigeria,17
Azerbaijan,17
Libya,17
Bermuda,18
Kenya,18
Zimbabwe,19
Myanmar,19
Palestine,20
British Virgin Islands,20
Sri Lanka,20
Trinidad and Tobago,21
Tunisia,21
Puerto Rico,23
Qatar,23
Seychelles,23
Barbados,25
Albania,26
Kuwait,26
Panama,29
Algeria,29
Hashemite Kingdom of Jordan,30
Malta,32
Cayman Islands,34
Georgia,36
Curaçao,37
Lebanon,37
Costa Rica,41
Mauritius,43
Réunion,43
Dominican Republic,58
Bosnia and Herzegovina,59
Guatemala,64
Egypt,66
Peru,68
North Macedonia,68
Iceland,72
Kyrgyzstan,74
Cambodia,78
Ecuador,79
Morocco,80
Armenia,89
Bahrain,95
Cyprus,102
Pakistan,131
Uzbekistan,141
United Arab Emirates,149
Gibraltar,185
Republic of Moldova,187
Slovenia,193
Latvia,194
Estonia,228
Saudi Arabia,229
Colombia,240
Denmark,250
Chile,252
,272
Republic of Lithuania,273
Philippines,277
Uruguay,284
Turkey,307
Vietnam,308
Serbia,318
Venezuela,357
Luxembourg,360
Portugal,403
Slovakia,413
Bulgaria,515
Norway,564
Kazakhstan,570
Argentina,583
Iran,612
Croatia,614
New Zealand,628
Mexico,641
Hungary,650
Israel,658
South Africa,674
Malaysia,766
Greece,768
Belarus,897
Indonesia,974
Czechia,981
Finland,989
India,1000
Austria,1146
Taiwan,1150
Ireland,1167
Belgium,1245
South Korea,1278
Sweden,1484
Hong Kong,1502
Poland,1533
Thailand,1597
Spain,1730
Romania,1825
Unknown,1843
Switzerland,2034
Brazil,2146
Italy,2387
Japan,2631
Singapore,2885
Australia,3507
Ukraine,3669
France,4623
Netherlands,4722
Canada,5023
United Kingdom,9254
Russia,17472
China,27449
Germany,30619
United States,35698
