ASN,Number of Peer
AS23700,1
AS61272,9
AS49505,16
AS14618,186
AS3303,39
AS37963,171
AS9123,1
AS24940,1018
AS6724,23
AS33915,39
AS16509,1302
AS45102,188
AS20807,1
AS14061,618
AS62282,34
AS20857,25
AS8881,21
AS7029,1
AS22773,51
AS38365,1
AS58291,1
AS13037,5
AS16276,560
AS12322,52
AS20115,59
AS3462,11
AS51167,218
AS265684,1
AS8560,19
AS29314,5
AS57963,5
AS46844,5
AS852,21
AS5089,53
TOR,182
AS197540,37
AS394151,1
AS8075,47
AS14613,2
AS2907,30
AS3265,56
AS3320,84
AS29066,27
AS60781,47
AS37611,5
AS62511,1
AS10297,4
AS1403,9
AS12876,104
AS3352,31
AS3786,11
AS11351,18
AS133481,3
AS32097,13
AS12271,21
AS15169,199
AS31334,42
AS20960,1
AS3301,12
AS136574,4
AS7922,275
AS4837,46
AS39572,32
AS26496,7
AS202053,6
AS378,1
AS15626,3
AS36351,14
AS63949,72
AS8473,26
AS45090,19
AS204196,3
AS395502,2
AS50297,7
AS20473,102
AS6327,30
AS24961,21
AS63018,2
AS7018,96
AS4739,17
AS15598,2
AS10439,2
AS209,40
AS20001,46
AS11426,20
AS42091,1
AS3329,2
AS29194,1
AS6830,122
AS1221,15
AS11427,40
AS29802,8
AS17306,1
AS133749,3
AS49981,55
AS8402,9
AS701,100
AS205138,1
AS20880,2
AS5645,24
AS17072,3
AS18390,1
AS11831,1
AS25369,9
AS1103,2
AS111,11
AS8570,1
AS13886,2
AS812,12
AS6921,3
AS42864,2
AS1136,28
AS29075,1
AS50266,10
AS10796,38
AS197451,2
AS202779,2
AS30798,2
AS2518,3
AS51395,1
AS6848,13
AS36352,17
AS44381,2
AS4766,26
AS13188,5
AS9808,9
AS29169,6
AS7545,19
AS203226,2
AS39608,4
AS33588,6
AS13030,16
AS50837,1
AS31939,1
AS15557,13
AS6128,25
AS196752,10
AS9070,2
AS35158,1
AS14361,1
AS9500,4
AS12849,3
AS62000,1
AS25985,1
AS202468,1
AS59105,2
AS42145,1
AS39392,7
AS16202,3
AS22709,2
AS5466,1
AS18106,2
AS41268,1
AS21232,3
AS48803,1
AS56322,1
AS20860,8
AS12374,1
AS5769,15
AS39324,1
AS44901,22
AS62365,1
AS199267,1
AS8972,26
AS9009,8
AS8758,4
AS31036,2
AS7979,6
AS4804,9
AS45510,1
AS22612,12
AS38197,1
AS6939,40
AS11014,2
AS16192,1
,5
AS49342,2
AS5610,7
AS2856,39
AS18687,1
AS9318,43
AS3549,1
AS50923,1
AS12083,9
AS54489,2
AS28812,1
AS9930,2
AS35807,4
AS25255,3
AS13306,1
AS133201,4
AS197071,4
AS197595,3
AS39178,1
AS3249,9
AS49532,3
AS7506,1
AS6805,9
AS40029,7
AS3215,21
AS10996,1
AS22489,1
AS31608,1
AS202269,1
AS16125,15
AS35362,1
AS4621,1
AS31333,1
AS13292,1
AS12912,1
AS13272,2
AS38532,1
AS38731,1
AS29695,8
AS262197,1
AS198047,2
AS11776,1
AS8359,6
AS25229,4
AS24400,14
AS34779,13
AS22047,5
AS206428,43
AS34197,3
AS46475,2
AS6181,5
AS855,5
AS22989,1
AS21554,4
AS35032,1
AS12301,2
AS22363,1
AS47610,2
AS52048,1
AS8708,16
AS559,5
AS2860,4
AS5607,18
AS200810,1
AS12871,2
AS42116,1
AS43350,12
AS3292,7
AS34251,6
AS3737,2
AS49544,2
AS37153,2
AS39651,9
AS45011,5
AS35401,1
AS59077,2
AS19318,5
AS32244,1
AS48666,3
AS31394,1
AS58022,1
AS22653,4
AS14868,3
AS198967,1
AS46375,7
AS174,13
AS13977,2
AS13127,5
AS2519,2
AS56047,8
AS4768,1
AS6428,1
AS35908,6
AS12668,1
AS21859,2
AS18881,3
AS135377,5
AS5650,33
AS9824,2
AS577,19
AS30325,1
AS15704,14
AS134176,1
AS197019,1
AS3308,1
AS39709,1
AS30870,2
AS12735,1
AS29141,6
AS36472,1
AS6849,3
AS34240,2
AS16086,12
AS4812,11
AS8767,13
AS20454,5
AS39351,3
AS25596,6
AS54540,5
AS6315,5
AS25190,1
AS61098,4
AS1257,3
AS12389,17
AS5432,14
AS25374,1
AS44489,1
AS201640,1
AS5578,2
AS61349,2
AS61317,3
AS13427,2
AS15962,3
AS50543,1
AS33363,16
AS35369,2
AS3209,14
AS29562,17
AS22799,1
AS23910,5
AS30722,6
AS197988,20
AS56705,1
AS12496,2
AS196691,1
AS6079,8
AS49453,5
AS37979,1
AS51277,1
AS20632,1
AS51177,32
AS42765,2
AS5588,6
AS17962,2
AS6858,12
AS201133,1
AS11051,2
AS36454,1
AS47524,3
AS2119,29
AS45753,18
AS41665,2
AS48031,3
AS7122,1
AS135391,4
AS12177,1
